"feature","DHMR005","DHMR006","DHMR007","DHMR008","DHMR021","DHMR022","DHMR023","DHMR024"
"0610005C13Rik",4,2,6,9,5,14,7,8
"0610007P14Rik",1576,662,1351,1409,696,1449,1489,1440
"0610009B22Rik",1077,513,961,1099,508,998,1083,1014
"0610009L18Rik",41,18,37,44,8,29,46,29
"0610009O20Rik",1467,753,1331,1411,752,1498,1422,1537
"0610010F05Rik",843,566,1418,871,631,938,803,1010
"0610010K14Rik",1212,512,931,1083,583,1102,1146,1167
"0610011F06Rik",432,237,399,441,222,461,486,464
"0610012G03Rik",471,223,334,422,177,370,486,406
"0610030E20Rik",1074,537,1264,1275,567,1153,1095,1091
"0610037L13Rik",1271,610,1147,1381,640,1260,1252,1279
"0610038B21Rik",10,4,3,11,2,2,11,14
"0610039K10Rik",1,1,2,2,0,0,0,0
"0610040B10Rik",19,14,15,29,13,28,20,29
"0610040J01Rik",1,0,2,0,0,1,1,1
"0610043K17Rik",2,2,2,0,1,1,2,4
"1010001N08Rik",2,1,1,1,0,0,0,2
"1110001J03Rik",164,77,104,173,64,143,153,140
"1110002L01Rik",74,56,68,79,57,89,77,58
"1110004E09Rik",820,386,671,783,387,780,892,772
"1110004F10Rik",3383,1834,2979,3467,1696,3350,3459,3271
"1110006O24Rik",16,4,12,11,2,11,14,9
"1110007C09Rik",1896,679,1197,1350,636,1292,1810,1322
"1110008F13Rik",1456,797,1143,1361,815,1237,1620,1325
"1110008L16Rik",728,336,713,703,378,720,720,750
"1110008P14Rik",864,445,761,803,447,802,988,898
"1110012L19Rik",1156,436,811,1031,443,990,1223,1063
"1110017D15Rik",9,2,3,6,2,1,5,3
"1110019D14Rik",92,57,128,97,63,108,87,121
"1110020A21Rik",15,8,16,13,5,14,17,16
"1110028F18Rik",0,0,2,0,2,0,1,0
"1110032A03Rik",341,147,289,327,147,309,367,327
"1110034G24Rik",184,75,136,163,81,138,213,150
"1110037F02Rik",3478,1890,4270,3617,2088,3914,2992,3529
"1110038B12Rik",2845,1026,1734,1923,896,1882,2766,1886
"1110038F14Rik",1184,591,943,1152,575,1077,1196,1117
"1110046J04Rik",239,105,151,208,103,173,253,151
"1110051M20Rik",1617,847,1456,1635,862,1624,1577,1643
"1110059E24Rik",1308,619,1253,1315,681,1266,1194,1320
"1110059G10Rik",683,384,766,719,361,647,649,587
"1110065P20Rik",340,248,308,361,230,353,359,340
"1190002F15Rik",81,55,98,118,45,108,79,89
"1190002N15Rik",4981,3188,8564,6832,3175,6267,4458,5879
"1190005I06Rik",4,3,4,11,3,7,7,3
"1190007I07Rik",74,45,81,81,37,76,89,74
"1200014J11Rik",1940,1026,2111,2070,1032,2040,1823,1912
