"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"0610005C13Rik","Group_safe",0.219118024877904,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.62418735896337,0.699718064946926
"0610007P14Rik","Group_safe",0.905316906462254,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.00744343901576,0.0106988436742637
"0610009B22Rik","Group_safe",0.675381304433575,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.976882235903751,-0.0337434404909452
"0610009L18Rik","Group_safe",0.246882127958705,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.773404497332609,-0.370704941197716
"0610009O20Rik","Group_safe",0.441870476184281,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.03380552746179,0.0479648210940778
"0610010F05Rik","Group_safe",0.5715141718329,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.925827798701269,-0.111184213564142
"0610010K14Rik","Group_safe",0.362784940211769,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.06433122772593,0.089947198050589
"0610011F06Rik","Group_safe",0.350643824967293,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.0601533945071,0.0842730246788214
"0610012G03Rik","Group_safe",0.724767819510135,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.962371629419194,-0.0553339821941711
"0610030E20Rik","Group_safe",0.364486736269751,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.940779967650416,-0.0880707541849125
"0610037L13Rik","Group_safe",0.971029274972411,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.997989240336563,-0.00290383342979682
"0610038B21Rik","Group_safe",0.981845550400031,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.988744789453299,-0.0163299080829118
"0610039K10Rik","Group_safe",0.0774736934907156,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.124464083574976,-3.00619860901047
"0610040B10Rik","Group_safe",0.570375171114671,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.14120747736274,0.190561104817764
"0610040J01Rik","Group_safe",0.991081053841227,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.987008822673117,-0.0188651141875894
"0610043K17Rik","Group_safe",0.781158052647932,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.23608577010601,0.305778853123703
"1010001N08Rik","Group_safe",0.40604361913642,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.394163905900076,-1.34313242191306
"1110001J03Rik","Group_safe",0.662357806731805,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.944832988515101,-0.0818687580774643
"1110002L01Rik","Group_safe",0.981162832741098,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.00392675068816,0.00565401005156197
"1110004E09Rik","Group_safe",0.517479550027466,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.04743821269367,0.0668651433331871
"1110004F10Rik","Group_safe",0.830722931827798,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.989378463092257,-0.0154055998057993
"1110006O24Rik","Group_safe",0.558718326385319,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.819962281063172,-0.286370548784325
"1110007C09Rik","Group_safe",0.831928766575135,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.972954124614816,-0.0395563122355409
"1110008F13Rik","Group_safe",0.696368713704979,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.03616741633894,0.0512571219516112
"1110008L16Rik","Group_safe",0.564911856351571,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.02979234403095,0.0423534496025984
"1110008P14Rik","Group_safe",0.304626155633434,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.07118063824824,0.0992017890798552
"1110012L19Rik","Group_safe",0.567075147125135,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.06561958436511,0.0916925021678248
"1110017D15Rik","Group_safe",0.283812412077424,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.560830935583777,-0.834362163901235
"1110019D14Rik","Group_safe",0.952132486694587,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.0077734920965,0.0111714140856381
"1110020A21Rik","Group_safe",0.918795062319104,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.973164049880228,-0.0392450689158793
"1110028F18Rik","Group_safe",0.694634976697331,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.88426529832698,0.914002105945831
"1110032A03Rik","Group_safe",0.754482083405751,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.02763498994163,0.0393279185081074
"1110034G24Rik","Group_safe",0.790193115156288,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.03548197235721,0.0503024365934264
"1110037F02Rik","Group_safe",0.537963884090989,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.950878030451871,-0.0726677970689139
"1110038B12Rik","Group_safe",0.803254130084388,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.965360803198159,-0.0508598450466916
"1110038F14Rik","Group_safe",0.897247590175137,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.00854310190561,0.0122727414389343
"1110046J04Rik","Group_safe",0.776512225506513,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.959385438166854,-0.0598175528296169
"1110051M20Rik","Group_safe",0.725793907886444,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.01510696929122,0.0216317628139461
"1110059E24Rik","Group_safe",0.82625555681577,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.989848158278401,-0.014720860704999
"1110059G10Rik","Group_safe",0.0251512260188226,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.87441591351887,-0.193608437992543
"1110065P20Rik","Group_safe",0.980384398499819,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.997343782011181,-0.00383721101356931
"1190002F15Rik","Group_safe",0.399967059116349,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.895453479628344,-0.159309611255491
"1190002N15Rik","Group_safe",0.179249130931026,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.845586690485966,-0.241975425973069
"1190005I06Rik","Group_safe",0.82668986916109,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.905089859693169,-0.143867061036281
"1190007I07Rik","Group_safe",0.760094638803273,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.963473899636765,-0.0536825102289838
"1200014J11Rik","Group_safe",0.226847620172306,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.946572269931031,-0.0792154363003875
"1300002E11Rik","Group_safe",0.720746099146068,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.97120326895861,-0.0421548173398561
"1300017J02Rik","Group_safe",0.577658789084812,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.667037492029124,-0.584160241956721
"1500004A13Rik","Group_safe",0.177580997157491,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.851310669760731,-0.232242382562693
"1500009C09Rik","Group_safe",0.791860839800699,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.59845231899453,0.676675709913802
"1500009L16Rik","Group_safe",0.658502176336685,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.1398518952407,0.188846382387736
"1500011B03Rik","Group_safe",0.905802809391063,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.0220043220436,0.0314012974278609
"1500011K16Rik","Group_safe",0.817720010214883,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.01985004531104,0.0283570396574065
"1500012F01Rik","Group_safe",0.841296182563486,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.976168562214365,-0.0347978048109194
"1500012K07Rik","Group_safe",0.710335107021575,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.719039125364296,-0.475857820143087
"1500015A07Rik","Group_safe",0.912639292625025,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.02568539287218,0.0365882828500802
"1500015O10Rik","Group_safe",0.903825251230643,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.02401680654654,0.0342393935824164
"1500017E21Rik","Group_safe",0.427885673213665,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.1244062608375,0.169163391963291
"1500026H17Rik","Group_safe",0.592969611970539,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.634414454836126,-0.656502452340395
"1600002H07Rik","Group_safe",0.772648904458326,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.0204781734623,0.0292453255607883
"1600002K03Rik","Group_safe",0.686312484326996,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.945469865513029,-0.0808966182752354
"1600012H06Rik","Group_safe",0.160688671088627,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.947884052723991,-0.0772174986230109
"1600014C10Rik","Group_safe",0.849698073910379,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.01829039738415,0.0261490497449174
"1600014C23Rik","Group_safe",0.991045827040632,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.989624751598287,-0.0150465107396746
"1600020E01Rik","Group_safe",0.864372702179501,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.981651069616446,-0.026717788871633
"1600023N17Rik","Group_safe",0.793403001903631,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.17895642687451,0.237510398645303
"1600027J07Rik","Group_safe",0.88861786886604,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.948601608512921,-0.0761257801367505
"1700001C19Rik","Group_safe",0.585266225639236,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.66563673737459,0.736073794261275
"1700001G11Rik","Group_safe",0.75161886633219,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.16781892975019,0.223816601784552
"1700001G17Rik","Group_safe",0.719792102357631,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.845593184171309,-0.241964346835027
"1700001K19Rik","Group_safe",0.354214473756375,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.71810173468259,-0.477739847322544
"1700001K23Rik","Group_safe",0.745842824616113,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.34549581597055,0.428137904699682
"1700001L05Rik","Group_safe",0.868704567695833,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.969323395523185,-0.0449500223538614
"1700001L19Rik","Group_safe",0.306969452391041,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.59399447162053,0.672646625702613
"1700001O22Rik","Group_safe",0.210882493503266,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.51339853487552,0.597791953567214
"1700001P01Rik","Group_safe",0.779152437705555,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.839030732593308,-0.253204439230688
"1700003E16Rik","Group_safe",0.929525867415087,0.999761144820883,"DMSO.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",1.01138276926765,0.0163291048712283
"1700003F12Rik","Group_safe",0.498586425169996,0.999761144820883,"T3976.LIPUS","DESeq2","DMSO.LIPUS vs T3976.LIPUS",0.860305388429182,-0.217079220927491
