"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"__","Group",0.0292551545242859,0.390068726990479,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",1.45852232649985,0.544507470626963
"s__","Group",0.648662138488297,0.985225020842934,"UC_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",0.893450417773845,-0.162540426075656
"s__ramosum","Group",0.750789988827311,0.985225020842934,"UC_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",0.57008547008547,-0.810749863286182
"s__prausnitzii","Group",0.846069920900991,0.985225020842934,"UC_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",0.86574716081609,-0.20798234371899
"s__gnavus","Group",0.713239859472206,0.985225020842934,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",1.10404212571843,0.142795220490718
"s__distasonis","Group",0.851717227863235,0.985225020842934,"UC_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",0.626123887942457,-0.675479950770051
"s__formicilis","Group",0.0668261677794855,0.464755115715975,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",1.7514256091239,0.808529711732749
"s__mucilaginosa","Group",0.146663348692132,0.533321267971389,"UC_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",0.560521614862451,-0.83515808750589
"s__lenta","Group",0.794885194343363,0.985225020842934,"UC_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",0.538098375054897,-0.894058144726866
"s__helveticus","Group",0.983928114373431,0.985225020842934,"UC_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",0.071472863328709,-3.80646060344093
"s__copri","Group",0.0655458027670834,0.464755115715975,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",5.24998724034094,2.39231391643224
"s__muciniphila","Group",0.759994601222534,0.985225020842934,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",1.97199106179689,0.97965301260298
"s__ovatus","Group",0.970927137169989,0.985225020842934,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",1.03621884954094,0.0513287325646499
"s__fragilis","Group",0.643111408659932,0.985225020842934,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",1.25398639041235,0.326521690571246
"s__longicatena","Group",0.624987854355139,0.985225020842934,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",1.22151515151515,0.288671758717902
"s__longum","Group",0.092951023143195,0.464755115715975,"UC_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",0.505007613287868,-0.985622957379645
"s__adolescentis","Group",0.537454106531534,0.985225020842934,"UC_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",0.72350114544337,-0.46693279406103
"s__D168","Group",0.119105734498899,0.476422937995597,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",24.6453301127214,4.62324240025425
"s__parainfluenzae","Group",0.220636092256102,0.678880283864928,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",1.32260772243984,0.403385230317159
"s__viridiflava","Group",0.909065144323189,0.985225020842934,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",1.04768786127168,0.0672089572655721
"s__dispar","Group",0.729457399634018,0.985225020842934,"UC_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",0.473579608627974,-1.07832113208908
"s__aerofaciens","Group",0.685833681115752,0.985225020842934,"UC_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",0.931029185867896,-0.103101700844543
"s__plebeius","Group",0.0744587829719217,0.464755115715975,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",2.46519410977242,1.3017012491105
"s__producta","Group",0.256880482400868,0.685014619735648,"UC_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",0.23968308253534,-2.06080001153109
"s__yabuuchiae","Group",0.864009200125812,0.985225020842934,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",1.35423116615067,0.437474026795697
"s__bromii","Group",0.0905583096623226,0.464755115715975,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",3.39436376210235,1.76314118175145
"s__biforme","Group",0.791962679691726,0.985225020842934,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",1.07950367647059,0.110368156761858
"s__reuteri","Group",0.111567953463776,0.476422937995597,"UC_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",0.177751695357329,-2.49206477486294
"s__uniformis","Group",0.981874613333046,0.985225020842934,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",1.21895643967615,0.2856465710885
"s__caccae","Group",0.573319077932931,0.985225020842934,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",1.10763888888889,0.147487612322557
"s__formicigenerans","Group",0.985225020842934,0.985225020842934,"UC_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",0.958280060882801,-0.0614807443543376
"s__obeum","Group",0.556587356136939,0.985225020842934,"UC_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",0.641316073354908,-0.640892528879875
"s__torques","Group",0.0180909451905762,0.390068726990479,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",7.30492424242424,2.86886931127031
"s__eutactus","Group",0.181083476854232,0.603611589514105,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",3.70555555555556,1.88968985485491
"s__parvula","Group",0.906625961849877,0.985225020842934,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",1.06216931216931,0.087013753296242
"s__palleronii","Group",0.242160772591223,0.685014619735648,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",1.70875420875421,0.772944891271773
"s__mucosae","Group",0.0287546271813855,0.390068726990479,"UC_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",0.00539193812286182,-7.53498034421661
"s__putredinis","Group",0.323122112977977,0.807805282444943,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",2.22258892555922,1.15224114229319
"s__citroniae","Group",0.905178339012298,0.985225020842934,"IBS_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",1.01150075414781,0.0164973955312964
"s__bifidum","Group",0.774864362907825,0.985225020842934,"UC_before","Wilcoxon rank sum exact test","IBS_before vs UC_before",0.697380952380952,-0.519981134674118
