"feature","J_XYL_F_0001_01","J_XYL_F_0002_01","J_XYL_F_0003_01","J_XYL_F_0004_01","J_XYL_F_0005_01","J_XYL_F_0006_01","J_XYL_F_0010_01","J_XYL_F_0012_01","J_XYL_F_0013_01","J_XYL_F_0015_01","J_XYL_F_0016_01","J_XYL_F_0018_01","J_XYL_F_0020_01","J_XYL_F_0025_01","J_XYL_F_0031_01","J_XYL_F_0032_01","J_XYL_F_0034_01","J_XYL_F_0036_01","J_XYL_F_0043_01","J_XYL_F_0044_01","J_XYL_F_0045_01","J_XYL_F_0046_01","J_XYL_F_0047_01","J_XYL_F_0048_01","J_XYL_F_0050_01","J_XYL_F_0051_01","J_XYL_F_0053_01","J_XYL_F_0057_01","J_XYL_F_0058_01","J_XYL_F_0059_01","J_XYL_F_0060_01","J_XYL_F_0061_01","J_XYL_F_0062_01","J_XYL_F_0064_01","J_XYL_F_0065_01","J_XYL_F_0066_01","K_XYL_F_0001_01","K_XYL_F_0002_01","K_XYL_F_0003_01","K_XYL_F_0004_01","K_XYL_F_0005_01","K_XYL_F_0007_01","K_XYL_F_0008_01","K_XYL_F_0009_01","K_XYL_F_0011_01","K_XYL_F_0012_01","K_XYL_F_0013_01","K_XYL_F_0017_01","K_XYL_F_0018_01","K_XYL_F_0022_01","K_XYL_F_0028_01","K_XYL_F_0030_03","K_XYL_F_0033_01","K_XYL_F_0035_01","K_XYL_F_0036_01","K_XYL_F_0037_01","K_XYL_F_0038_01","K_XYL_F_0039_01","K_XYL_F_0042_01","K_XYL_F_0043_01","K_XYL_F_0044_01","K_XYL_F_0045_01","K_XYL_F_0046_01","K_XYL_F_0047_01","K_XYL_F_0048_01"
"__",0.260927959766863,0.18122381187524,-1.23373448619697,0.052384829936846,-0.206927375481765,-0.399535012789459,0.351296664815744,-0.757233271599037,0.583270272281775,-0.115139742950858,0.0549615655562997,0.329985173640291,0.481563063064929,-0.104194293280613,0.309179626676427,-0.264033531876539,-0.13731276048289,0.15947738489072,0.74334096587751,-0.491278631971486,0.720332635200576,0.135650647641831,0.886084892710608,0.639338441704732,0.8025427533261,0.89189173742445,-0.0160065848214497,-1.77591938039233,0.15005221842997,-0.0674046082688465,0.743785995268054,-0.654222772828131,0.0571449514762065,0.355302333436998,0.324101688016614,-0.165147232802651,0.465884530643981,0.414652762378253,-0.508286349337275,0.242086571011764,-0.907419093635369,0.101848452369361,0.408515972377422,-0.328850702116876,0.248713368792021,-0.0264514585215095,-0.115467143748493,0.577903777327594,-0.308622557189514,-0.424661300975245,-0.273820983088701,-0.50890856505238,-0.613898983030611,-0.0973537055422486,-0.423503548099363,-0.583570796235773,0.982465101252637,0.1984527307046,-0.618786710804755,0.17505960805151,-0.416065633835032,0.164517951261474,0.64910093274198,-0.349062191500539,-0.950221963474682
"s__",0.180110003713324,0.269320240544356,-1.34830948352921,0.041707322032294,-0.066563202023905,-0.564161508409528,0.686471277319842,-0.600863202926392,0.636306363217894,-0.161162201580021,0.0902895702543969,0.591298911899193,0.675429772774721,-0.0824071592158058,0.286082054497134,0.197482148595943,-0.14607658308762,0.25719998790754,0.859208384311559,-0.62567258731886,0.643843301422988,0.291820120329021,0.944804766749386,0.574673620398019,0.73117450636539,0.467996206246548,0.17767806041704,-1.83839207468529,-0.16904122547326,-0.125491958290759,0.539574876732506,-0.831728913654207,0.00919768403393714,0.257313688254291,0.501536481272294,-0.366670359375555,0.459476056445413,0.265795739305808,-0.625442302879029,-0.00153228705149409,-1.07971657511769,0.110596918908325,0.43433796067288,-0.544823431483607,0.235096731820105,-0.00214920375583508,-0.277055993279042,0.522843226701143,-0.30777259338098,-0.641596009975335,-0.510434236844369,-0.726455072285935,-0.553038106697778,-0.046729138892037,-0.263997248571608,-0.385602407675489,0.960384606857605,0.149712930749828,-0.406049934107985,0.087799985904901,-0.386092705354242,0.749744994026559,0.84877134509462,-0.428164603133662,-0.621887535720262
"s__ramosum",0.0807526719638637,-0.216417069297864,0.355896749160686,-0.209832059014369,-0.33237947882392,0.471696092030132,-0.556449576716891,-0.429943287846431,-0.495016275909656,-0.116284137748744,0.0304630841123697,-0.381136367432234,-0.416835991121619,0.0349450426562585,0.208915850442332,0.486662031093446,0.261379174707053,-0.144299277079195,-0.119190535363735,0.0244814427726512,-0.0304554466688206,-0.365822151727191,-0.102650643936032,0.0471999469244687,0.0749064295495251,0.130808100993994,-0.590119047236349,0.331665250724553,0.636075753057195,0.290082895583353,0.374205283561276,0.267219294586502,-0.112627508157769,0.131157011911126,-0.628658104619102,0.379848986302773,0.0792520005737357,0.353764366639039,0.846522794149754,0.153217124269166,0.298950443161949,0.0500531761662323,-0.46405942362635,0.00546046763878718,0.0396899302223898,-0.219208299851724,0.029789776221043,0.0758292975089955,0.197461935206868,0.611954745170919,0.685013338172025,0.805434472405451,-0.0964019017235581,0.0279870069175883,0.271881117109928,-0.646864666870498,0.301658958062674,0.0819714736376558,-0.475567110253538,0.0756752906604428,-0.0304012584155811,-1.15888026159589,-1.21592014682615,0.164413305139068,-0.218922083304061
"s__prausnitzii",-0.262672611437565,0.396994445978543,-0.545665585823006,0.192728658488045,0.643350457819789,-0.808608095786066,1.25022009350708,0.803661723762079,0.593941586566698,0.0310271841059213,0.0386568308649627,0.917480905551772,0.808163245419478,0.0137127296171523,-0.278687238953621,0.460116671824891,-0.282111633443822,0.343212062727773,0.326707122581156,-0.278892772852744,-0.160576277518153,0.694177222439486,0.184958061629477,-0.21272790383339,-0.263033178311333,-1.05186212641442,1.01097792409649,-0.38725758970974,-1.32347714449103,-0.416844123178552,-0.843929335355219,-0.611283301785088,0.0150374659580265,-0.354763590992812,1.00112230997906,-0.800779025469768,-0.117533236698742,-0.69292786772732,-1.09362086126684,-0.672385024753204,-0.621293987972436,-0.0386563133066378,0.514147942312612,-0.43512729310292,-0.0810503414331619,0.278310373411998,-0.358412776223549,-0.219633711106266,-0.187929931889293,-1.06044474107516,-1.18385906381545,-1.25799150265613,0.254610188017998,0.0800334827644536,0.0675604623599064,1.10569097403153,-0.40479642843982,-0.194823519071828,0.960469753521418,-0.266589399670208,0.113150060140051,2.3983020491916,1.63942405631672,-0.316590501820524,0.94889199239964
"s__gnavus",0.165543683008864,-0.132626319338447,-0.261559013771529,-0.332287528236499,-0.467389447205852,0.32496963732475,-0.25248372354096,-0.913156340294253,-0.417570751050354,-0.320892904642623,0.130566736430698,-0.0785178461800837,-0.147551261339173,0.0301437389469831,0.485145552623944,1.30413589268943,0.342734438433432,-0.012149621264995,0.380618744151537,-0.422365571572691,0.244338239504845,-0.309254857126588,0.407384327808547,0.343981593788926,0.471408522538898,0.118796957683824,-0.711658155109992,-0.531022760161453,0.686341902321132,0.35992282304304,0.746453195232179,-0.17293121633328,-0.221409468396652,0.277352744238065,-0.60830996552378,0.252302159204451,0.381883114828229,0.60671044285481,0.949929053777343,0.0462014132291955,-0.254517055266988,0.151779373779347,-0.502167008152647,-0.477634194630434,0.185233962395396,-0.342671709298668,-0.24204129252084,0.370458273679723,0.155067370808998,0.46916499954246,0.646379045136586,0.740820243091606,-0.416380229259658,0.0629453450570611,0.436543169939445,-1.11609837804603,1.01547463621509,0.177715035927267,-0.832126918132209,0.100196981148039,-0.240330241067781,-1.00066056911737,-1.3655861249316,-0.0342983959322892,-0.430994482938416
"s__distasonis",-0.0748893728435739,-0.0310478141934447,0.0591394188974298,-0.253414947734113,-0.0673680959143388,0.128774390155845,0.156437661349781,-0.174936806332779,-0.393065581480964,-0.239566137996306,0.116515905452189,0.184017803456924,0.00289555609326841,0.0809539193786933,0.199804509797609,1.55774763357893,0.261595598321883,0.0691629629756781,0.175042160805786,-0.305543192865794,-0.159199681362864,-0.0471334215545493,0.0744091622288048,-0.0517053464691309,-0.0255525448771975,-0.748114534569993,-0.22160848730228,0.114380916866372,3.00940414670256e-05,0.187341332676556,0.00497903871249951,-0.143274150402078,-0.228805318205101,-0.0514190094737169,-0.279048713047143,-0.0408639183704968,0.103366595970276,0.0853422890306026,0.644144799114498,-0.360659457525339,-0.11258186373377,0.0816649296813072,-0.430901812434622,-0.499145912028179,0.0294201043198354,-0.190442260627816,-0.336584125186369,-0.00233641079022712,0.20126973210714,0.165531564050744,0.212128051195253,0.373455661106666,-0.00978957519545954,0.138319298865838,0.63217717816924,-0.311268403340858,0.348051935306416,-0.00561901895528462,-0.0903419795219037,-0.100456029288637,0.00685140091507432,0.0366131740477501,-0.860036617443105,-0.0172263444049856,0.432382106802065
"s__formicilis",-0.221339041122617,0.214324746296958,-0.207523028741886,-0.015825059762292,0.378499636393699,-0.400372614595482,0.823352347531891,0.465880829743583,0.117277270756211,-0.0950241383494797,0.0794378697789099,0.634096863516419,0.461343643540935,0.058451248348362,-0.0936340398028579,1.1067963296728,-0.0282953571187833,0.234494891172562,0.232231916838387,-0.290059404996249,-0.238464650740646,0.392913682417652,0.0816286750066565,-0.208810229628401,-0.239387574334746,-1.10490760721868,0.510516151257101,-0.0381382348378158,-0.827974844545159,-0.15517766188975,-0.577140583473217,-0.398449173598819,-0.113093120888616,-0.273567685671617,0.447720399861664,-0.501593509082338,-0.0564311925564228,-0.41639245143231,-0.302076557472978,-0.619583960312844,-0.368610652493953,0.0100832909083693,0.0625461871630907,-0.499031811826881,-0.0546763150734649,0.0756565249099635,-0.385065536800649,-0.182746502337605,0.012387219849908,-0.534716744455608,-0.598858272224289,-0.542740973211118,0.200941541592263,0.128331979586951,0.400942660037598,0.568049608479102,-0.14879866727301,-0.138854212499411,0.595068746728284,-0.230063953255738,0.106499834666997,1.48443739349263,0.516207579302883,-0.176209163056405,0.883515457830301
"s__mucilaginosa",0.142762684788394,-0.143223493669104,0.470091484902439,0.352625556954347,-0.0493164840636294,0.187958892134358,-0.822462609595337,0.247823602483196,0.288174543551625,0.43759494539345,-0.231638681392472,-0.745110655677692,-0.440121972324959,-0.112644061996192,-0.340295799748146,-2.77070265215329,-0.308915017505627,-0.290332681833786,-0.646014193970174,0.776955975689279,0.11116810730874,-0.207265657543035,-0.465659651388188,-0.0309387089627946,-0.108159276064918,1.39194861091659,0.0275052832091333,0.484496990728349,0.424966445793271,-0.154260278080806,0.0638829152028053,0.665170725481884,0.371939158116787,0.106126592059928,0.0259334394513581,0.406074941092909,-0.27925081589328,-0.0276899844950052,-0.566554078758102,0.787426712014613,0.693340093694745,-0.158354504927456,0.435391131234851,1.11685179126661,-0.098112230959518,0.237663228618674,0.743686929228322,-0.0948455232313721,-0.185861104567634,0.221853992914507,0.139163452760187,-0.0408029608003716,0.114348413535507,-0.237323445617213,-0.985107004830728,0.322375744429607,-0.757471475218852,0.0182323050290275,0.00364205013034992,0.214576397283015,0.0753710744365213,-0.967058554795991,0.70169586338534,0.24932219339782,-0.792648708552861
"s__lenta",-0.145435479142329,-0.0832085093584903,0.447757208739251,-0.220280398078038,0.0142332313671108,0.23201456136,0.0135111435910965,0.107024430416303,-0.504416127500515,-0.154952215646673,0.0757894854143848,0.0420442574006658,-0.152917535409844,0.0989317863802517,0.0595085024666733,1.33794277997242,0.254318499844744,0.00427199251201507,-0.100549536471105,-0.0861612194785568,-0.362370008307756,-0.0808191688520888,-0.228036175933622,-0.249771254048766,-0.281912960560239,-0.892701706256296,-0.17113675419541,0.668689042371544,-0.0509591800949998,0.171716277345753,-0.239244667424342,0.0966197677228382,-0.20235386993747,-0.157420804664971,-0.32788239629109,0.0195458009470171,-0.0686458025416136,-0.0674198108858468,0.680897003107152,-0.369545267138088,0.203586177526576,0.0324202986826921,-0.478119689185066,-0.294754184837037,-0.0573717601474509,-0.14391901096491,-0.23342500541467,-0.190149157876773,0.261717454168096,0.26929398733626,0.257473628292304,0.463384133335593,0.192170417685874,0.142898666328099,0.645640095303973,-0.0584566093043428,-0.0405365179076215,-0.0693644844611321,0.130222132720469,-0.138058961195674,0.140977063811825,-0.0201085624649481,-0.899203634225754,0.0991369415474613,0.65787165850509
"s__helveticus",-0.178844643089641,0.136821002712135,0.108340137098638,0.147755570146961,0.37993455139568,-0.288744039682298,0.422878150559036,0.654035702765136,0.211636132170055,0.12034275097554,-0.0334244647722219,0.267788951860835,0.224525799812962,0.0142778048858289,-0.282180410811479,-0.167407698471781,-0.165411665217865,0.0890527536131959,-0.128493438183426,0.111993241175001,-0.247401247612369,0.292578741060595,-0.207799820915361,-0.278442388536152,-0.359307222026243,-0.536895091747711,0.536654593409968,0.330959730434392,-0.656303322248657,-0.22699321192796,-0.618261103082702,-0.0394083667868626,0.057075028777837,-0.257128636217459,0.445024947109104,-0.306710416409182,-0.227300199573798,-0.471668331029921,-0.539236366430257,-0.277577843125487,0.0243725015663773,-0.0731264551759794,0.239486672143743,0.0474610868885209,-0.122172725874219,0.192734913602735,-0.0304917098372087,-0.277421665682902,-0.0517312122697074,-0.408066327077133,-0.524908097876378,-0.534850277864252,0.3081498252063,0.0258172630786044,-0.0261063048382953,0.780489462605831,-0.590157704576116,-0.148910723758713,0.658993195469489,-0.146822127015943,0.177460644534653,1.0449322920131,0.811682500617247,-0.0341188585397623,0.600568170595933
