"feature","pvalue","fdr","median_IBS_before","median_UC_before","higher_in"
"s__torques",0.0180909451905762,0.390068726990479,0,0,"UC_before"
"s__mucosae",0.0287546271813855,0.390068726990479,0,0,"UC_before"
"__",0.0292551545242859,0.390068726990479,2548,1719,"IBS_before"
"s__copri",0.0655458027670834,0.464755115715975,19.5,0,"IBS_before"
"s__formicilis",0.0668261677794855,0.464755115715975,101,0,"IBS_before"
"s__plebeius",0.0744587829719217,0.464755115715975,0,0,"UC_before"
"s__bromii",0.0905583096623226,0.464755115715975,0,0,"UC_before"
"s__longum",0.092951023143195,0.464755115715975,88,109,"UC_before"
"s__reuteri",0.111567953463776,0.476422937995597,0,0,"UC_before"
"s__D168",0.119105734498899,0.476422937995597,0,0,"UC_before"
"s__mucilaginosa",0.146663348692132,0.533321267971389,7.5,31,"UC_before"
"s__eutactus",0.181083476854232,0.603611589514105,0,0,"UC_before"
"s__parainfluenzae",0.220636092256102,0.678880283864928,11,0,"IBS_before"
"s__palleronii",0.242160772591223,0.685014619735648,0,0,"UC_before"
"s__producta",0.256880482400868,0.685014619735648,0,0,"UC_before"
"s__putredinis",0.323122112977977,0.807805282444943,0,0,"UC_before"
"s__adolescentis",0.537454106531534,0.985225020842934,72.5,67,"IBS_before"
"s__obeum",0.556587356136939,0.985225020842934,0,0,"UC_before"
"s__caccae",0.573319077932931,0.985225020842934,0,0,"UC_before"
"s__longicatena",0.624987854355139,0.985225020842934,0,0,"UC_before"
"s__fragilis",0.643111408659932,0.985225020842934,3,11,"UC_before"
"s__",0.648662138488297,0.985225020842934,3419,3449,"UC_before"
"s__aerofaciens",0.685833681115752,0.985225020842934,0,0,"UC_before"
"s__gnavus",0.713239859472206,0.985225020842934,91,108,"UC_before"
"s__dispar",0.729457399634018,0.985225020842934,46,21,"IBS_before"
"s__ramosum",0.750789988827311,0.985225020842934,0,0,"UC_before"
"s__muciniphila",0.759994601222534,0.985225020842934,51.5,26,"IBS_before"
"s__bifidum",0.774864362907825,0.985225020842934,0,0,"UC_before"
"s__biforme",0.791962679691726,0.985225020842934,0,0,"UC_before"
"s__lenta",0.794885194343363,0.985225020842934,0,0,"UC_before"
"s__prausnitzii",0.846069920900991,0.985225020842934,267.5,251,"IBS_before"
"s__distasonis",0.851717227863235,0.985225020842934,25,8,"IBS_before"
"s__yabuuchiae",0.864009200125812,0.985225020842934,0,0,"UC_before"
"s__citroniae",0.905178339012298,0.985225020842934,0,0,"UC_before"
"s__parvula",0.906625961849877,0.985225020842934,0,0,"UC_before"
"s__viridiflava",0.909065144323189,0.985225020842934,18.5,0,"IBS_before"
"s__ovatus",0.970927137169989,0.985225020842934,55.5,9,"IBS_before"
"s__uniformis",0.981874613333046,0.985225020842934,75,83,"UC_before"
"s__helveticus",0.983928114373431,0.985225020842934,0,0,"UC_before"
"s__formicigenerans",0.985225020842934,0.985225020842934,50,40,"IBS_before"
