"item","value"
"counts table (input)","470 features x 132 samples"
"metadata table (input)","130 rows (SampleID, Group, Group_sub)"
"samples without a Group label (excluded from group tests)","2 (K_XYL_F_0009_03, K_XYL_F_0035_03)"
"features after prevalence filter >= 0.10 (detect >= 0.05)","132"
"features removed by the filter","338"
"features in the analysis state (top 40)","40"
"sequencing depth, analysis state (min / median / max)","1624 / 9761 / 20033"
"features detected per sample (median / range)","17 (2 - 27)"
"Shannon, all 132 samples (mean / median)","1.494 / 1.563"
"Shannon, 130 labelled samples (mean / median)","1.489 / 1.562"
"Kruskal-Wallis p, Shannon over 4 groups","0.279"
"PERMANOVA R2 / F / p — Bray-Curtis ~ Group, 4 groups, n = 130","0.0338 / 1.47 / 0.088"
"betadisper permutest p, 4 groups","0.618"
"PERMANOVA R2 / F / p — UC_before vs IBS_before, n = 65","0.0265 / 1.71 / 0.101"
"betadisper permutest p, UC_before vs IBS_before","0.336"
"differential features tested","40"
"differential p<0.05 / FDR<0.05","3 / 0"
"minimum BH FDR","0.39"
